id,name,price,description
1,BMW,4294.24,Upgradable homogeneous initiative
2,Toyota,991.07,Polarised system-worthy open system
3,Ford,5547.73,Fully-configurable 24 hour throughput
4,Acura,6582.72,Organic fault-tolerant middleware
5,Chevrolet,5661.95,Fundamental actuating budgetary management
6,Chrysler,2993.54,Organic national local area network
7,Volkswagen,4579.88,Integrated foreground secured line
8,Mercedes-Benz,450.35,Stand-alone non-volatile challenge
9,Jeep,5343.55,Versatile 24 hour framework
10,Pontiac,1177.83,Monitored next generation focus group
